Subj,Crse,Sec_x,Cap_x,CRN,Title,Days,Time,Instructor,Date (MM/DD),Location
ECS,122A,A,250,21777,Algorithm Design & Anyls,TR,04:40 pm-06:00 pm,Yelena A. Frid (P),01/08-03/15,TBA
ECS,122A,A,250,21778,Algorithm Design & Anyls,TR,04:40 pm-06:00 pm,Yelena A. Frid (P),01/08-03/15,TBA
ECS,122B,A,150,21779,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,Setareh Rafatirad (P),01/08-03/15,TBA
ECS,122B,A,150,21780,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,Setareh Rafatirad (P),01/08-03/15,TBA
ECS,122B,A,150,21781,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,Setareh Rafatirad (P),01/08-03/15,TBA
ECS,129,0,85,44613,Comp Structural Bioinfo,TR,09:00 am-10:20 am,Patrice A. Koehl (P),01/08-03/15,TBA
ECS,132,A,125,21783,Prob & Sta Model for CS,M,10:00 am-10:50 am,TBA,01/08-03/15,TBA
ECS,132,A,125,21784,Prob & Sta Model for CS,TR,06:10 pm-07:30 pm,Yelena A. Frid (P),01/08-03/15,TBA
ECS,140A,0,195,21785,Programming Languages,TR,10:30 am-11:50 am,Aditya V. Thakur (P),01/08-03/15,TBA
ECS,150,0,198,21786,Operating Systems,MWF,12:10 pm-01:00 pm,Joel Porquet (P),01/08-03/15,TBA
ECS,152A,A,168,44817,Computer Networks,TR,01:30 pm-02:50 pm,Chen-Nee Chuah (P),01/08-03/15,TBA
ECS,152A,A,168,44818,Computer Networks,TR,01:30 pm-02:50 pm,Chen-Nee Chuah (P),01/08-03/15,TBA
ECS,152A,A,168,44819,Computer Networks,TR,01:30 pm-02:50 pm,Chen-Nee Chuah (P),01/08-03/15,TBA
ECS,154A,0,190,21790,Computer Architecture,TR,01:40 pm-03:00 pm,Matthew K. Farrens (P),01/08-03/15,TBA
ECS,154B,0,75,21791,Computer Architecture,MWF,03:10 pm-04:00 pm,Jason G. Lowe-Power (P),01/08-03/15,TBA
ECS,160,0,95,21792,Software Engineering,MWF,09:00 am-09:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,163,0,75,44620,Information Interfaces,MWF,03:10 pm-04:00 pm,TBA,01/08-03/15,TBA
ECS,164,0,150,21793,Human-Computer Inter,TR,12:10 pm-01:30 pm,Hao-Chuan Wang (P),01/08-03/15,TBA
ECS,165A,A,150,21794,Database Systems,M,01:10 pm-02:00 pm,TBA,01/08-03/15,TBA
ECS,165A,A,150,21795,Database Systems,TR,10:30 am-11:50 am,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
ECS,165A,A,150,21796,Database Systems,TR,10:30 am-11:50 am,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
ECS,170,0,150,21797,Artificial Intelligence,MWF,02:10 pm-03:00 pm,Ian N. Davidson (P),01/08-03/15,TBA
ECS,188,0,60,21798,Ethics in an Age of Tech,MWF,01:10 pm-02:00 pm,Kurt P. Eiselt (P),01/08-03/15,TBA
ECS,188,0,60,21799,Ethics in an Age of Tech,MWF,04:10 pm-05:00 pm,Muhammad Zubair Shafiq (P),01/08-03/15,TBA
ECS,189A,0,150,21800,Computer Science Theory,MWF,10:00 am-10:50 am,Isaac H. Kim (P),01/08-03/15,TBA
ECS,189A,0,150,44621,Computer Science Theory,MWF,12:10 pm-01:00 pm,Slobodan Mitrovic (P),01/08-03/15,TBA
ECS,189E,0,75,44622,Software Engineering,MWF,08:00 am-08:50 am,Samuel T. King (P),01/08-03/15,TBA
ECS,189G,0,65,21801,Artificial Intelligence,MWF,05:10 pm-06:00 pm,Jiawei Zhang (P),01/08-03/15,TBA
ECS,189L,0,75,44624,Computer Science,TR,01:40 pm-03:00 pm,Joshua A. Mccoy (P),01/08-03/15,TBA
ECS,193A,0,99,21806,Capstone Project,TR,01:40 pm-03:00 pm,Christopher J. Nitta (P),01/08-03/15,TBA
ECS,199FA,0,99,21925,Student-Taught Course De, ,TBA,Muhammad Zubair Shafiq (P),01/08-03/15,TBA
