Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
 , , , , , , , ,F,02:10 pm-03:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44676,ECS,034,001,M,4.000,Dev in UNIX & C++,TR,12:10 pm-01:30 pm,60,0,60,999,0,999,0,0,0,Christopher J. Nitta (P),01/08-03/15,TBA
 , , , , , , , ,T,11:00 am-11:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21644,ECS,036A,001,M,4.000,Programming & Prob Solve,MWF,11:00 am-11:50 am,220,0,220,999,0,999,0,0,0,Matthew F. Butner (P),01/08-03/15,TBA
 , , , , , , , ,M,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21645,ECS,036B,A01,M,4.000,Object-Oriented Program,M,04:10 pm-05:00 pm,55,0,55,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,10:30 am-11:50 am, , , , , , , , , ,Francois Gygi (P),01/08-03/15,TBA
NR,21646,ECS,036B,A02,M,4.000,Object-Oriented Program,TR,10:30 am-11:50 am,55,0,55,999,0,999,0,0,0,Francois Gygi (P),01/08-03/15,TBA
 , , , , , , , ,T,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21647,ECS,036B,A03,M,4.000,Object-Oriented Program,TR,10:30 am-11:50 am,55,0,55,999,0,999,0,0,0,Francois Gygi (P),01/08-03/15,TBA
 , , , , , , , ,W,09:00 am-09:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21648,ECS,036B,A04,M,4.000,Object-Oriented Program,TR,10:30 am-11:50 am,55,0,55,999,0,999,0,0,0,Francois Gygi (P),01/08-03/15,TBA
 , , , , , , , ,R,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21649,ECS,036C,A01,M,4.000,Data Structures,MWF,02:10 pm-03:00 pm,64,0,64,999,0,999,0,0,0,Edwin A. Solares (P),01/08-03/15,TBA
